Genes	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
ULBP1			963838							655847																	
ULK1	4.1773e+06	3.15017e+06	3.53689e+06	3.53192e+06	3.51613e+06	4.86326e+06	3.97226e+06	4.53494e+06	3.87849e+06	4.26917e+06	2.72713e+06	3.21073e+06	4.16753e+06	3.13242e+06	3.18492e+06	3.43749e+06	4.15054e+06	3.35322e+06	4.119e+06	3.45589e+06	3.54021e+06	3.66762e+06	4.43169e+06	3.54307e+06	3.41584e+06	4.81567e+06	4.48208e+06
ULK3	3.72672e+06	3.67814e+06	4.05898e+06	6.23409e+06	1.88162e+06	2.12591e+06	4.14961e+06	3.69966e+06	3.04353e+06	4.38862e+06	3.77917e+06	3.57303e+06	6.0193e+06	5.82387e+06	5.97903e+06	6.18903e+06	5.40527e+06	6.44366e+06	6.28484e+06	2.72455e+06	2.3021e+06	2.26459e+06	2.76705e+06	2.72131e+06	2.47392e+06	2.40887e+06	2.07351e+06
UMAD1	2.19374e+06	1.51927e+06	2.11221e+06	1.53705e+06	1.62755e+06	1.5441e+06	1.77742e+06	2.24228e+06	2.83186e+06	1.83866e+06	1.90603e+06	2.00893e+06	1.29244e+06	1.5807e+06	1.42477e+06	1.32788e+06	1.30712e+06		1.11136e+06	1.79524e+06	1.55477e+06	1.50325e+06	1.19332e+06	1.9912e+06	1.75033e+06	1.90076e+06	1.71752e+06
UMODL1-AS1	1.23964e+06			946197			1.15462e+06	1.00694e+06												1.44736e+06				1.69726e+06			
UMPS	1.08772e+08	1.10185e+08	1.20385e+08	1.12173e+08	9.26257e+07	1.03961e+08	1.15638e+08	1.09194e+08	1.08956e+08	1.05924e+08	1.134e+08	1.14834e+08	1.16869e+08	1.06569e+08	1.1058e+08	1.12206e+08	1.13186e+08	1.19259e+08	1.24949e+08	1.04219e+08	9.52818e+07	9.73815e+07	9.95585e+07	1.02066e+08	1.1902e+08	9.90726e+07	1.01018e+08
UNC119														1.40407e+06		1.70631e+06	1.35924e+06										
UNC119B	3.81411e+06	3.83234e+06	3.83294e+06	4.84693e+06	4.8172e+06	5.44649e+06	3.95511e+06	3.84004e+06	4.35899e+06	4.7247e+06	3.5257e+06	3.54965e+06	7.01677e+06	5.68282e+06	6.33949e+06	6.56314e+06	5.57074e+06	5.18696e+06	5.59505e+06	4.52909e+06	5.33112e+06	5.24381e+06	5.41728e+06	4.265e+06	4.39816e+06	5.87737e+06	6.15709e+06
UNC13D	4.04852e+07	2.29641e+07	3.03342e+07	9.20389e+07	1.24253e+08	9.15732e+07	4.04384e+07	2.7217e+07	3.90619e+07	3.68753e+07	2.19784e+07	2.50044e+07	9.44017e+07	8.55524e+07	8.06616e+07	8.7351e+07	8.75452e+07	9.41623e+07	8.60956e+07	1.26428e+08	1.08193e+08	1.21665e+08	9.96208e+07	1.18437e+08	1.19924e+08	8.61109e+07	8.25227e+07
UNC45A	3.3662e+07	3.43728e+07	3.50953e+07	4.51611e+07	4.17694e+07	4.4372e+07	3.44327e+07	3.40195e+07	2.7898e+07	4.18703e+07	3.54815e+07	3.24009e+07	4.49075e+07	4.31587e+07	4.7108e+07	4.56254e+07	3.99946e+07	4.49486e+07	4.18464e+07	4.83562e+07	4.08297e+07	4.2453e+07	4.8911e+07	4.4371e+07	4.80324e+07	3.82846e+07	3.79083e+07
UNC50	5.58142e+06	5.62971e+06	7.30478e+06	6.48533e+06	5.29572e+06	7.10321e+06	6.33501e+06	7.47711e+06	5.27711e+06	4.71727e+06	7.13372e+06	5.43754e+06	6.29377e+06	6.39612e+06	6.2519e+06	6.58858e+06	5.77691e+06	6.51922e+06	4.88139e+06	6.36501e+06	4.97001e+06	5.45954e+06	6.36068e+06	7.26606e+06	6.47291e+06	5.26239e+06	4.54199e+06
UNC5A																			615625								
UNC5C				8.00586e+06	7.28264e+06	7.33469e+06							6.99016e+06	6.7212e+06	6.99287e+06	8.25133e+06	7.09871e+06	7.72861e+06	8.61286e+06	5.92067e+06	5.39168e+06	5.45303e+06	9.58772e+06	1.244e+07	7.82506e+06	6.97642e+06	6.93799e+06
UNC5CL																										1.78722e+06	
UNC93A									1.869e+06																		
UNC93B1	1.50954e+07	1.08676e+07	1.36328e+07	2.88333e+07	1.65717e+07	1.93611e+07	1.26612e+07	1.07027e+07	1.76445e+07	1.02032e+07	9.79538e+06	9.57605e+06	3.19405e+07	3.14408e+07	2.881e+07	2.8012e+07	3.36168e+07	2.66063e+07	2.79568e+07	1.92388e+07	1.81262e+07	1.81911e+07	2.82707e+07	1.62178e+07	1.65651e+07	1.85949e+07	1.85878e+07
UNG	6.19671e+06	9.40633e+06	9.98528e+06	1.77871e+07	9.77814e+06	9.94583e+06	7.03903e+06	8.28689e+06	7.69289e+06	1.01956e+07	8.13306e+06	8.84658e+06	1.17582e+07	1.16562e+07	1.256e+07	1.41794e+07	1.4391e+07	2.00986e+07	1.85633e+07	7.93491e+06	8.46052e+06	8.64016e+06	6.24683e+06	9.30404e+06	1.00285e+07	1.06705e+07	1.01282e+07
UNK	4.7199e+06	4.38724e+06	3.94267e+06	5.20713e+06	8.79681e+06	7.52305e+06	4.20477e+06	5.2577e+06	4.85407e+06	4.24308e+06	4.52957e+06	4.62706e+06	6.44096e+06	5.88544e+06	6.16636e+06	4.4566e+06	5.58638e+06	5.33472e+06	5.00149e+06	1.08967e+07	9.48338e+06	9.86012e+06	1.00188e+07	1.01222e+07	9.75636e+06	7.22461e+06	6.95786e+06
UNKL													285872														
UNQ5815/PRO19632		445597					454513				359375	326298		293433	366338		450399			256452							
UNQ6126/PRO20091	136071																										
UNQ9165/PRO28630							1.91799e+07		1.45063e+07	1.40376e+07			7.726e+06		1.44417e+07		8.63871e+06	1.48437e+07				1.0029e+07					8.14364e+06
UPF1	6.21643e+07	6.12322e+07	6.52033e+07	8.91564e+07	4.7568e+07	5.18637e+07	6.33961e+07	6.68448e+07	5.04698e+07	6.21199e+07	5.98945e+07	6.0217e+07	8.3653e+07	8.46156e+07	8.44752e+07	8.17779e+07	8.33746e+07	8.43123e+07	8.38706e+07	4.85009e+07	4.57648e+07	4.69953e+07	4.9881e+07	5.01148e+07	5.24971e+07	4.95735e+07	4.81055e+07
UPF2	2.93595e+07	2.97531e+07	2.57445e+07	3.39795e+07	2.43953e+07	2.23556e+07	3.19525e+07	3.29408e+07	3.15385e+07	3.1202e+07	3.00652e+07	2.88484e+07	3.59563e+07	3.36668e+07	3.54923e+07	3.38779e+07	3.38773e+07	3.23151e+07	3.3714e+07	2.35163e+07	2.34597e+07	2.45247e+07	2.30613e+07	2.62273e+07	2.57862e+07	2.29776e+07	2.32899e+07
UPF3A	4.26563e+06	5.24477e+06	2.8802e+06	3.32541e+06	4.55731e+06	3.22811e+06	4.0904e+06	3.56869e+06	3.54655e+06	3.99499e+06	4.7991e+06	5.51366e+06	3.51202e+06	3.37203e+06	3.91275e+06	3.33092e+06	4.15508e+06	3.32444e+06	3.46667e+06	2.94978e+06	3.26445e+06	3.5381e+06	2.50081e+06	3.91733e+06	3.90018e+06	2.98767e+06	2.91056e+06
UPF3B	1.138e+07	9.2354e+06	1.14856e+07	1.24182e+07	7.73345e+06	7.47495e+06	1.13786e+07	1.14282e+07	1.10715e+07	1.08246e+07	9.64005e+06	9.86252e+06	1.05703e+07	1.0342e+07	1.39218e+07	1.22287e+07	1.00295e+07	1.02722e+07	1.08377e+07	8.21521e+06	6.58104e+06	6.84877e+06	6.64806e+06	8.46256e+06	8.89656e+06	7.89459e+06	7.49616e+06
UPK2																	433150										
UPK3B																					451430						
UPP1												8.25171e+06															
UPRT	2.9733e+06	2.17971e+06	2.21746e+06	2.15664e+06	2.53855e+06	3.82621e+06	2.37283e+06	2.62979e+06	2.32427e+06	1.96195e+06	2.13662e+06	2.37396e+06	2.37125e+06	2.23057e+06	2.22421e+06	2.37174e+06	2.37645e+06	2.07897e+06	2.1146e+06	3.2573e+06	2.34173e+06	3.07356e+06	3.15295e+06	3.11279e+06	2.76548e+06	3.28367e+06	2.74533e+06
UQCC1	6.27892e+06	7.85179e+06	5.87744e+06	6.97687e+06	5.95606e+06	5.01425e+06	6.96569e+06	6.57265e+06	5.46674e+06	5.1408e+06	7.7634e+06	6.91545e+06	5.49591e+06	5.67967e+06	5.17759e+06	5.70853e+06	4.3561e+06	8.25064e+06	7.01443e+06	4.72561e+06	3.41809e+06	4.70983e+06	3.94529e+06	5.69099e+06	5.50137e+06	4.0802e+06	4.51347e+06
UQCC2	5.70052e+06	6.0335e+06	3.24475e+06	4.52918e+06	3.52872e+06	4.60296e+06	5.70136e+06	5.69379e+06	4.38596e+06	5.04958e+06	6.83112e+06	6.77341e+06	4.55138e+06	5.05197e+06	5.13014e+06	5.94855e+06	4.15026e+06	4.40529e+06	3.81048e+06	4.22135e+06	2.35439e+06	4.44644e+06	3.70257e+06	5.88132e+06	4.52131e+06	2.97486e+06	3.96116e+06
UQCC3	1.34197e+07	1.46238e+07	1.34212e+07	1.40642e+07	7.14412e+06	1.17085e+07		1.45093e+07	6.69801e+06		1.58128e+07	1.41689e+07		1.67936e+07		1.43065e+07	1.18518e+07	1.33579e+07	1.22502e+07	1.0155e+07	7.15314e+06	8.34207e+06	9.09144e+06	9.72273e+06	8.569e+06	9.44976e+06	8.55334e+06
UQCC4	8.67614e+06	8.32554e+06	5.39797e+06	5.18202e+06	9.41844e+06	7.39391e+06	9.87156e+06	6.3065e+06	7.50284e+06	6.51199e+06	7.4127e+06	9.98315e+06	5.37841e+06	5.1781e+06	7.20144e+06	5.50509e+06	6.57965e+06	5.6433e+06	5.11e+06	1.04086e+07	8.80559e+06	7.96898e+06	9.09924e+06	1.0062e+07	1.21405e+07	7.75629e+06	7.80907e+06
UQCC5	653730	981615	747952	1.18778e+06	519610	725413	870225	977376					759393			805944	740729	994165	763762	916866		425000	671061	971239	1.26294e+06		
UQCC6	2.99518e+06	1.43695e+06	1.99932e+06	2.73362e+06	3.32643e+06	1.88712e+06	1.82942e+06	1.48512e+06	3.59336e+06	3.46722e+06	1.53823e+06	1.79635e+06	2.56148e+06	2.433e+06	1.6961e+06	2.04127e+06	2.26077e+06			2.78739e+06	3.9577e+06	3.35858e+06	2.91942e+06	2.59e+06	3.02804e+06		3.16109e+06
UQCR11	1.68691e+07	1.91982e+07	1.5903e+07	2.13013e+07	9.17364e+06	1.34308e+07	1.50783e+07	1.66603e+07	1.04236e+07	1.19245e+07	2.86803e+07	1.87949e+07	9.85016e+06	1.40903e+07	1.62696e+07	1.96335e+07	1.18891e+07	1.59597e+07	1.79905e+07	1.32833e+07	6.94302e+06	7.30072e+06	1.02969e+07	1.61154e+07	1.15274e+07	7.65541e+06	7.22367e+06
UQCRB	1.66045e+08	1.76733e+08	1.37225e+08	1.49076e+08	1.30382e+08	1.34951e+08	1.33679e+08	1.54348e+08	1.45431e+08	1.45823e+08	1.87122e+08	1.9842e+08	1.1399e+08	1.01333e+08	1.35093e+08	1.42688e+08	1.31818e+08	1.18877e+08	1.22763e+08	1.48793e+08	1.35397e+08	1.37575e+08	1.44711e+08	1.34312e+08	1.47344e+08	1.24638e+08	1.33283e+08
UQCRC1	2.15573e+08	2.79161e+08	1.5505e+08	1.85945e+08	1.98115e+08	2.12058e+08	2.16851e+08	2.29645e+08	2.33628e+08	2.24512e+08	2.58193e+08	2.82793e+08	1.85865e+08	1.65597e+08	1.48729e+08	1.65087e+08	1.73498e+08	1.87137e+08	1.92297e+08	1.79466e+08	2.11065e+08	2.20094e+08	1.85427e+08	1.99381e+08	1.78076e+08	2.24396e+08	2.03672e+08
UQCRC2	1.91141e+08	2.497e+08	1.5594e+08	1.94464e+08	1.70221e+08	1.77743e+08	2.0311e+08	2.18706e+08	1.78676e+08	1.72358e+08	2.6512e+08	2.50919e+08	1.59263e+08	1.64051e+08	1.43382e+08	1.55723e+08	1.5382e+08	1.99884e+08	2.1625e+08	1.62816e+08	1.4059e+08	1.79957e+08	1.37322e+08	1.69568e+08	1.56127e+08	1.67346e+08	1.43662e+08
UQCRFS1	6.44493e+07	8.08549e+07	4.97182e+07	5.5473e+07	6.15282e+07	5.70663e+07	5.95338e+07	5.47053e+07	7.17957e+07	6.97816e+07	6.38784e+07	6.10914e+07	4.31475e+07	3.77493e+07	3.47013e+07	4.29051e+07	4.57635e+07	5.17637e+07	4.94691e+07	4.21771e+07	4.3165e+07	5.71329e+07	4.53074e+07	4.34173e+07	4.28498e+07	4.434e+07	5.10849e+07
UQCRFS1P1	142705																80569.9			97879.7				110298			
UQCRH	4.1405e+08	3.85371e+08	3.31171e+08	3.14174e+08	4.97846e+08	4.25764e+08	3.18673e+08	3.34983e+08	4.67147e+08	3.28328e+08	3.81364e+08	4.05168e+08	3.01873e+08	2.69621e+08	3.66281e+08	3.36424e+08	3.18346e+08	2.71268e+08	2.77644e+08	5.33875e+08	3.56439e+08	4.28634e+08	4.54128e+08	3.60998e+08	4.79123e+08	3.46633e+08	3.66953e+08
UQCRQ	7.5182e+07	1.09985e+08	6.64325e+07	7.4081e+07	5.93898e+07	6.04776e+07	6.52408e+07	6.58658e+07	5.7588e+07	6.15188e+07	7.93145e+07	8.54743e+07	4.59061e+07	5.10445e+07	4.8024e+07	5.25531e+07	5.04329e+07	5.36798e+07	5.62794e+07	4.56902e+07	3.28525e+07	3.87754e+07	4.66253e+07	5.33199e+07	4.37168e+07	4.84092e+07	4.59814e+07
URB1	1.40341e+07	1.80373e+07	1.59778e+07	1.0619e+07	1.78351e+07	1.101e+07	1.60509e+07	1.47021e+07	1.75951e+07	2.1386e+07	1.45733e+07	1.46273e+07	1.46923e+07	1.39705e+07	1.05896e+07	9.01767e+06	1.54955e+07	1.80909e+07	1.69831e+07	1.32648e+07	1.67335e+07	1.69594e+07	1.4882e+07	9.68168e+06	1.26106e+07	1.60591e+07	1.53393e+07
URB2	6.27945e+07	7.63931e+07	6.43303e+07	4.62654e+07	7.80013e+07	5.07424e+07	6.95175e+07	6.19824e+07	7.10083e+07	8.24799e+07	6.35217e+07	6.23812e+07	6.14161e+07	6.0546e+07	4.54139e+07	3.6546e+07	6.8019e+07	7.52951e+07	7.07849e+07	5.64569e+07	8.03905e+07	7.00849e+07	6.82518e+07	4.37208e+07	5.57895e+07	7.73429e+07	7.2179e+07
URGCP	3.33826e+06	3.58108e+06	3.62909e+06	3.46473e+06	5.02752e+06	4.81998e+06	3.52319e+06	4.10654e+06	3.1886e+06	4.04767e+06	4.30313e+06	3.46566e+06	2.90509e+06	2.90175e+06	2.60594e+06	3.04789e+06	3.25192e+06	3.51871e+06	3.08003e+06	5.63856e+06	6.55629e+06	5.1761e+06	5.13391e+06	5.00947e+06	5.70284e+06	5.09508e+06	5.26655e+06
URI1	1.88116e+07	1.9299e+07	1.69619e+07	2.24276e+07	8.8406e+06	9.18805e+06	1.68652e+07	2.19264e+07	1.46938e+07	2.16648e+07	1.85344e+07	1.88036e+07	1.71847e+07	1.57103e+07	1.88585e+07	1.844e+07	1.95829e+07	2.1786e+07	2.22642e+07	6.69752e+06	7.79793e+06	7.0659e+06	7.2194e+06	7.37528e+06	9.3257e+06	9.29455e+06	8.95697e+06
URM1	5.09696e+07	4.68268e+07	5.00164e+07	6.21558e+07	4.25201e+07	4.76979e+07	5.16528e+07	4.69983e+07	6.3467e+07	4.93731e+07	4.95405e+07	4.85393e+07	4.01565e+07	4.09139e+07	5.58276e+07	4.36206e+07	4.36158e+07	6.383e+07	7.42858e+07	5.67058e+07	4.52102e+07	6.15762e+07	4.75842e+07	4.89625e+07	5.019e+07	5.31899e+07	5.77474e+07
UROD	4.85512e+07	5.26129e+07	4.57881e+07	8.95616e+07	5.91619e+07	5.80933e+07	4.5417e+07	5.24288e+07	4.67523e+07	4.56369e+07	5.33858e+07	5.1518e+07	9.23414e+07	8.75355e+07	8.23155e+07	7.5493e+07	7.13615e+07	7.99012e+07	8.13998e+07	5.29008e+07	4.75973e+07	5.95794e+07	4.66471e+07	5.75909e+07	5.44712e+07	5.23424e+07	5.44658e+07
UROS	1.03083e+07	7.6375e+06	8.9795e+06	1.55175e+07	9.1164e+06	9.00591e+06	9.3064e+06	9.52259e+06	1.2796e+07	8.60575e+06	8.65767e+06	8.48566e+06	1.44741e+07	1.75778e+07	1.45979e+07	1.62271e+07	1.3697e+07	1.31349e+07	1.25408e+07	7.50946e+06	6.54137e+06	7.39155e+06	7.93824e+06	9.36917e+06	1.055e+07	7.43713e+06	6.57742e+06
USE1	1.40673e+07	1.26266e+07	1.32649e+07	1.45329e+07	1.39545e+07	1.2461e+07	1.39556e+07	1.46575e+07	1.25236e+07	1.31752e+07	1.22104e+07	1.41852e+07	1.45147e+07	1.25251e+07	1.69179e+07	1.46754e+07	1.52156e+07	1.48224e+07	1.37116e+07	1.43288e+07	1.30354e+07	1.20665e+07	1.45221e+07	1.54209e+07	1.568e+07	1.21811e+07	1.28045e+07
USF1	1.03278e+07	8.06077e+06	7.92912e+06	1.01252e+07	1.34401e+07	1.34985e+07	1.01014e+07	9.69415e+06	1.29964e+07	9.77493e+06	8.17878e+06	8.07152e+06	1.00204e+07	8.66262e+06	1.06208e+07	8.97207e+06	8.24736e+06	9.37558e+06	1.04975e+07	1.68387e+07	1.40411e+07	1.51598e+07	1.55289e+07	1.30548e+07	1.46098e+07	1.43806e+07	1.42124e+07
USF2	1.22743e+07	1.05474e+07	1.10741e+07	1.33082e+07	7.62773e+06	1.04449e+07	1.22078e+07	1.30636e+07	9.5118e+06	1.24928e+07	1.23812e+07	1.11246e+07	9.90033e+06	9.20562e+06	1.17902e+07	1.25225e+07	1.08369e+07	1.17551e+07	1.29564e+07	1.08655e+07	9.73263e+06	9.64181e+06	7.90179e+06	1.02311e+07	9.13602e+06	8.67063e+06	9.75907e+06
USH1C																				229468							
USHBP1					85578.2																						
USO1	7.70847e+07	7.25671e+07	6.84186e+07	6.33507e+07	7.05454e+07	8.16752e+07	7.4611e+07	7.26224e+07	8.05672e+07	5.89231e+07	7.34057e+07	7.36773e+07	6.07747e+07	5.87456e+07	5.95855e+07	5.83372e+07	5.76307e+07	5.61148e+07	5.74232e+07	6.32925e+07	5.77816e+07	5.98979e+07	6.35878e+07	8.27344e+07	7.48053e+07	7.15868e+07	7.05261e+07
USP1	4.9419e+06	5.39282e+06	4.30625e+06	5.36489e+06	4.91821e+06	6.34328e+06	5.12058e+06	5.44629e+06	5.99331e+06	5.48117e+06	5.31507e+06	5.50814e+06	5.5e+06	4.70992e+06	4.97546e+06	4.52264e+06	5.94926e+06	5.70864e+06	6.29061e+06	6.4585e+06	6.13822e+06	5.42127e+06	6.30582e+06	4.96789e+06	5.21677e+06	7.51443e+06	6.46156e+06
USP10	4.48444e+07	4.52301e+07	5.51199e+07	5.65657e+07	5.2082e+07	5.25727e+07	5.08569e+07	5.9749e+07	4.88048e+07	5.19695e+07	4.54704e+07	4.47491e+07	4.65194e+07	5.18029e+07	5.3493e+07	5.00538e+07	4.87107e+07	4.88402e+07	4.95654e+07	6.26186e+07	5.47066e+07	5.65551e+07	6.46518e+07	5.51884e+07	5.36095e+07	5.38641e+07	5.2218e+07
USP11	2.2991e+07	2.19944e+07	2.17074e+07	1.57606e+07	1.53025e+07	2.09794e+07	2.29543e+07	2.49939e+07	2.05308e+07	2.51805e+07	1.82929e+07	2.06672e+07	1.80885e+07	1.76879e+07	1.58972e+07	1.17999e+07	1.66927e+07	1.57458e+07	1.65827e+07	1.78132e+07	2.16331e+07	2.07947e+07	2.0174e+07	1.88826e+07	1.15215e+07	2.03542e+07	2.06092e+07
USP13	6.85661e+06	6.552e+06	8.91805e+06	5.28011e+06	1.93051e+07	1.8021e+07	7.57261e+06	7.53247e+06	6.48367e+06	8.20455e+06	7.00714e+06	7.45972e+06	4.40642e+06	4.71948e+06	4.2328e+06	5.7867e+06	5.70619e+06	5.18358e+06	5.46287e+06	1.82834e+07	2.05113e+07	1.80466e+07	1.95919e+07	2.0197e+07	1.57887e+07	1.64663e+07	1.60773e+07
USP14	9.18537e+07	1.05076e+08	9.71383e+07	9.5413e+07	1.11984e+08	1.0124e+08	9.17159e+07	9.99442e+07	1.04705e+08	1.01975e+08	1.04117e+08	1.09039e+08	9.80751e+07	1.0574e+08	9.63056e+07	9.48408e+07	1.0212e+08	8.95561e+07	9.20947e+07	9.15006e+07	9.94253e+07	9.33272e+07	1.0974e+08	1.0224e+08	1.12688e+08	9.8653e+07	1.01142e+08
USP15	1.9278e+07	1.99867e+07	2.06282e+07	2.28164e+07	1.54269e+07	1.95063e+07	1.9687e+07	1.80479e+07	1.91518e+07	1.86284e+07	1.92645e+07	1.93311e+07	2.32643e+07	2.52011e+07	2.27045e+07	2.14147e+07	2.31929e+07	2.1366e+07	2.26417e+07	1.93109e+07	1.65095e+07	1.85192e+07	2.46106e+07	1.74882e+07	1.57952e+07	1.82145e+07	1.89461e+07
USP16	3.96515e+06	4.78771e+06	4.95242e+06	6.28027e+06	3.50129e+06	3.70664e+06	4.52323e+06	4.57272e+06	4.48358e+06	3.81869e+06	4.59606e+06	4.42854e+06	5.93814e+06	5.45659e+06	5.59858e+06	4.98617e+06	5.95416e+06	6.42852e+06	5.75575e+06	4.39752e+06	2.46132e+06	3.55152e+06	4.11511e+06	3.50523e+06	3.98375e+06	3.4178e+06	3.4686e+06
USP17L23	427839														347023												
USP17L8													7.51677e+06						4.97969e+06								
USP18																				495736			9.65138e+06	897452			
USP19	1.44919e+07	1.4999e+07	1.36861e+07	1.86485e+07	1.54074e+07	1.70315e+07	1.40416e+07	1.48768e+07	1.4381e+07	1.33516e+07	1.48432e+07	1.41034e+07	1.77324e+07	1.83477e+07	1.7536e+07	1.70217e+07	1.76178e+07	1.91824e+07	1.84839e+07	1.74919e+07	1.42787e+07	1.53844e+07	1.85443e+07	1.67683e+07	1.77689e+07	1.61077e+07	1.50771e+07
USP20	1.99878e+06	2.70197e+06	1.22404e+06	3.59518e+06	3.90494e+06	3.98542e+06	3.15553e+06	2.00506e+06	2.24925e+06	3.88896e+06	2.14752e+06		3.82597e+06	2.38472e+06	3.22707e+06	4.26956e+06	3.12506e+06	4.12483e+06	3.56324e+06	3.30683e+06	2.9544e+06	4.01385e+06	3.02603e+06	3.53164e+06	3.57578e+06	3.11358e+06	4.02942e+06
USP22	6.71073e+06	9.38542e+06	7.60681e+06	2.05504e+06	6.18168e+06	8.26155e+06	8.00752e+06	1.13479e+07	5.68635e+06	7.97628e+06	9.79362e+06	8.36799e+06		6.45119e+06		5.24154e+06	6.38176e+06	4.10368e+06	8.23094e+06		7.68824e+06	4.90485e+06	4.28766e+06		3.21774e+06	5.27845e+06	4.85914e+06
USP24	1.57304e+07	1.62691e+07	1.57593e+07	1.84665e+07	2.22722e+07	2.68209e+07	1.64598e+07	1.73497e+07	1.81069e+07	1.60379e+07	1.68193e+07	1.64882e+07	1.82809e+07	1.77718e+07	1.70966e+07	1.56053e+07	1.65705e+07	1.93523e+07	1.84011e+07	2.19774e+07	2.15685e+07	2.18576e+07	2.0593e+07	2.38421e+07	2.34945e+07	2.45276e+07	2.45538e+07
USP25	6.56507e+06	6.66982e+06	7.75953e+06	8.95141e+06	1.12553e+07	1.04022e+07	6.49489e+06	6.65962e+06	9.33937e+06	7.51313e+06	6.56052e+06	7.33998e+06	1.24829e+07	1.0574e+07	9.31139e+06	1.32633e+07	1.45793e+07	1.04826e+07	1.00035e+07	9.25678e+06	9.94099e+06	1.13505e+07	1.12475e+07	1.06529e+07	8.2256e+06	1.01298e+07	1.15362e+07
USP27X					194286	150076														113783	121539	162400	152037	160782	153464	211298	
